id:ID,name,type:LABEL
ent::material::84e6ba,transparent materials,unknown
ent::resin::7527ce,transparent acrylic resin,unknown
ent::glass::158196,glasses,unknown
ent::expression::3e7a42,expression,unknown
ent::butterfly::219e1e,butterflies,unknown
ent::quadrilateral::e3206c,quadrilateral,unknown
ent::plate::b2a68e,polygonal plate,unknown
ent::diameter::8e9b9e,bore diameters,unknown
ent::generate::93a41d,generating the electromagnetic field,unknown
ent::direction::15923e,upward and downward direction,unknown
ent::can::740efe,water storage can,unknown
ent::position::2af526,install position,unknown
ent::fall::a39714,free-falling,unknown
ent::center::62609b,center,unknown
ent::pump::73e06e,pump up,unknown
ent::for::eb84c1,water tank for appreciation,unknown
ent::state::8f5a8b,state of,unknown
ent::capacity::7489ac,full capacity,unknown
ent::acryl::dd18a7,transparent acryl,unknown
ent::corrosion::ed7529,corrosion,unknown
ent::not::cc4547,not greater than,unknown
ent::30::99d4e8,30mm,unknown
ent::light::a1a718,lighting,unknown
ent::spiral::52d4ed,spiral,unknown
ent::appearance::1525d7,beautiful appearance,unknown
ent::color::bcbecc,background color,unknown
ent::minimize::5e22ca,minimize,unknown
ent::support::9bd198,column support,unknown
ent::strength::978d19,strength,unknown
ent::generating::2e6008,air bubble generating,unknown
ent::tube::be4178,perforated tube,unknown
ent::transport::2d78e8,transporting liquid,unknown
ent::conveyor::8205b7,Air conveyor,unknown
ent::9::1d4b5c,9,unknown
ent::gas::88dd5d,gas,unknown
ent::instal::16e20a,installing,unknown
ent::connect::d3002d,connecting,unknown
ent::bottom::0ecf3f,bottom 11,unknown
ent::inlet::87d7e0,inlet,unknown
ent::vertically::413dea,vertically,unknown
ent::pressure::acc5be,inhalation pressure,unknown
ent::proliferation::0fa9e6,proliferation,unknown
ent::opening::f3f719,openings,unknown
ent::mesh::3b61ad,meshes,unknown
ent::function::0ec7b9,filtering function,unknown
ent::fin::ffae4b,pectoral fin,unknown
ent::actuator::c3a47e,bimorph structured actuator,unknown
ent::viewer::22d299,viewers,unknown
ent::circuit::6865ea,relay circuit,unknown
ent::source::554424,power source 30,unknown
ent::polymeric::f8efa2,polymeric,unknown
ent::spontaneously::21fa86,spontaneously,unknown
ent::use::15c000,in-room use,unknown
ent::cylindrical::1a7023,cylindrical,unknown
ent::labor::e6385b,labor,unknown
ent::mm::08339f,150 to 200 mm,unknown
ent::desirable::4dc4bc,desirable,unknown
ent::rectangular::f40d0e,rectangular,unknown
ent::place::cfac05,places,unknown
ent::size::6e696f,size,unknown
ent::volume::f8afe3,volume,unknown
ent::height::7558e1,height,unknown
ent::line::e5b179,A-A line,unknown
ent::120::aa8f3e,120,unknown
ent::coil::eb9814,three or more coils,unknown
ent::field::c24fde,electromagnetic field,unknown
ent::electricity::be9d82,electricity,unknown
ent::peripheral::992f2b,peripheral,unknown
ent::drive::64d2db,driving electric power,unknown
ent::element::ab590d,actuator elements,unknown
ent::exchange::a34a7f,exchange of power,unknown
ent::battery::c6beb9,batteries,unknown
ent::distance::42e189,distance,unknown
ent::periphery::df514c,periphery,unknown
ent::control::fe2bfc,controlling,unknown
ent::uniform::44c5af,uniform,unknown
ent::length::e61d2a,length,unknown
ent::great::05f017,not greater than,unknown
ent::%::233f1a,80 to 120 %,unknown
ent::range::a5ca00,range,unknown
ent::two::ce569e,substantially two and,unknown
ent::more::f1afad,more,unknown
ent::on::0e2433,on electricity,unknown
ent::induce::adbbf4,induced current,unknown
ent::turn::5f6219,turn on electricity,unknown
ent::number::3b3828,number of winding,unknown
ent::20::527431,20 to,unknown
ent::heat::eb20ae,heated,unknown
ent::weak::5588d3,weak,unknown
ent::power::6a4218,electric power,unknown
ent::voltage::3fcc58,voltage,unknown
ent::v::ab6ca3,100 V,unknown
ent::200::bbe81b,200,unknown
ent::submarine::357dc8,submarines,unknown
ent::bird::b9bdd2,birds,unknown
ent::group::b6113e,group,unknown
ent::vertebrate::bdac76,vertebrates,unknown
ent::leg::35e733,8 legs,unknown
ent::body::742826,body 22,unknown
ent::24::ce8ae7,24,unknown
ent::3::0a5241,3,unknown
ent::25::7303d3,25,unknown
ent::supply::f1242f,electric supply,unknown
ent::layer::29cd5a,polymeric electrolyte layer,unknown
ent::253::fdb00b,253,unknown
ent::242::2c1e11,metal layer 242,unknown
ent::wire::0e9f16,conductive wire 28,unknown
ent::metal::dea075,Metal,unknown
ent::252::f18284,252',unknown
ent::22::ad0e7f,22,unknown
ent::connection::30a0a0,connection,unknown
ent::apply::f3c7d3,applied,unknown
ent::curvature::9b4cf8,Curvature,unknown
ent::octopus::2d824b,octopus,unknown
ent::curve::6543bf,curve,unknown
ent::open::b5e2cd,leg opened state,unknown
ent::51::218f67,51,unknown
ent::electrode::742556,metal electrode,unknown
ent::bundle::d0b25b,bundle,unknown
ent::to::929a4f,Figs 2 to 4,unknown
ent::kind::d08542,kinds,unknown
ent::clapping::72976c,clapping,unknown
ent::taste::2f9e1c,taste,unknown
ent::motion::577709,swaying motion,unknown
ent::phase::d4c995,phase,unknown
ent::potential::22f16a,electric potential,unknown
ent::conductivity::103a17,conductivity,unknown
ent::diode::cc2ff4,light-emitting diodes,unknown
ent::room::e2074e,dark room,unknown
ent::weight::03c8f1,light weighted,unknown
ent::explanation::9626a1,explanation,unknown
ent::solution::098c93,solution,unknown
ent::ion::19aea3,dopant ion,unknown
ent::concentration::defad1,specific concentration,unknown
